restaurant_id,category,name,description,price
1361,Whole Pies,Banana Cream Pie,"Loaded with hand-sliced bananas and topped with real whipped cream and chopped walnuts.
(700 cal/slice)

Serves six or more! 

",16.09 USD
1361,Whole Pies,Caramel Apple Pie,"Luscious apples with a crumb topping and rich caramel icing. (500 cal/slice)

Serves six or more! 

",16.09 USD
1361,Whole Pies,Chocolate French Silk Pie,"Creamy chocolate topped with real whipped cream and dark chocolate curls. (760 cal/slice)

Serves six or more! 

",17.29 USD
1361,Whole Pies,Cherry Pie,"Sweet and tangy cherries baked inside a golden double crust. (580 cal/slice)

Serves six or more!",16.09 USD
1361,Whole Pies,Fresh Strawberry Pie,"Fresh glazed strawberries layered with Bavarian cream in a flaky pie crust. (540 cal/slice)   

Serves six or more! 

",18.39 USD
1361,Whole Pies,Heath® Crunch Cheesecake Pie,"A caramel toffee cheesecake topped with real whipped cream, crushed Heath® bar and chocolate curls, layered with chocolate ganache and toffee pieces in a graham cracker crust. (750 cal/slice)",17.89 USD
1361,Whole Pies,Homestyle Apple Pie,"Juicy sweet apples baked fresh inside a golden flaky crust.
(570 cal/slice)

Serves six or more! 

",14.99 USD
1361,Whole Pies,Lemon Meringue Pie,"Tangy lemon filling, light and fluffy. (500 cal/slice)

Serves six or more! 

",16.09 USD
1361,Whole Pies,Peanut Butter Silk Pie,"Layers of chocolate, peanut butter silk, real whipped cream and mini chocolate peanut butter cups. (930 cal/slice)

Serves six or more! 



",17.29 USD
1361,Whole Pies,Wildberry Pie,"Seasonal ripe berries.  No sugar added. (470 cal/slice)

Serves six or more! 

",16.49 USD
1361,Mammoth Muffins®,Half Dozen Strawberry Cream Cheese Mammoth Muffin®,(600 cal each),11.39 USD
1361,Mammoth Muffins®,Apple Cinnamon Mammoth Muffin®,,3.79 USD
1361,Mammoth Muffins®,Half Dozen Apple Cinnamon Mammoth Muffins®,(630 cal each),11.39 USD
1361,Mammoth Muffins®,Banana Nut Mammoth Muffin®,,3.79 USD
1361,Mammoth Muffins®,Half Dozen Banana Nut Mammoth Muffins®,(790 cal each),11.39 USD
